Name/lfdNr;Name2;Langname;Gelenk 1;;;;;;;;;;;;;Gelenk 2;;;;;;;;;;;;;Gelenk 3;;;;;;;;;;;;;Gelenk 4;;;;;;;;;;;;;Gelenk 5;;;;;;;;;;;;;Gelenk 6;;;;;;;;;;;;;Allgemein;
;;;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Typ;beta;b;alpha;a;theta;d;offset;qmin;qmax;vmax;VZ;just;Nenn-Traglast;Masse
S6RRRRRR10_KUKA33;KUKA;KR 120 R3900 ultra K;R;0;0;0;0;q1;590;0;-185;185;105;-1;-20;R;0;0;90;750;q2;0;0;-70;120;101;1;100;R;0;0;0;1350;0;0;0;-210;65;107;1;20;R;0;0;90;41;q4;1800;0;-350;350;292;1;0;R;0;0;90;0;q5;0;0;-125;125;258;1;0;R;0;0;90;0;q6;-240;0;-350;350;284;1;0;120;1221
S6RRRRRR10_KUKA34;KUKA;KR 120 R2500 pro;R;0;0;0;0;q1;675;0;-185;185;136;-1;-20;R;0;0;90;350;q2;0;0;5;140;130;1;100;R;0;0;0;1150;0;0;0;-210;65;120;1;20;R;0;0;90;41;q4;1000;0;-350;350;292;1;0;R;0;0;90;0;q5;0;0;-125;125;258;1;0;R;0;0;90;0;q6;-215;0;-350;350;284;1;0;120;1221
S6RRRRRR10_KUKA35;KUKA;KR 90 R2700 pro;R;0;0;0;0;q1;675;0;-185;185;136;-1;-20;R;0;0;90;350;q2;0;0;5;140;130;1;120;R;0;0;0;1150;0;0;0;-210;65;120;1;20;R;0;0;90;41;q4;1200;0;-350;350;292;1;0;R;0;0;90;0;q5;0;0;-125;125;258;1;0;R;0;0;90;0;q6;-215;0;-350;350;284;1;0;120;1049
S6RRRRRR10_KUKA36;KUKA;KR 210 R2700 extra;R;0;0;0;0;q1;675;0;-185;185;123;-1;-20;R;0;0;90;350;q2;0;0;5;140;115;1;120;R;0;0;0;1150;0;0;0;-210;65;112;1;20;R;0;0;90;41;q4;1200;0;-350;350;179;1;0;R;0;0;90;0;q5;0;0;-125;125;172;1;0;R;0;0;90;0;q6;-215;0;-350;350;219;1;0;90;1058
S6RRRRRR10_KUKA37;KUKA;KR 180 R2500 extra;R;0;0;0;0;q1;675;0;-185;185;123;-1;-20;R;0;0;90;350;q2;0;0;5;140;115;1;120;R;0;0;0;1150;0;0;0;-210;65;112;1;20;R;0;0;90;41;q4;1000;0;-350;350;179;1;0;R;0;0;90;0;q5;0;0;-125;125;172;1;0;R;0;0;90;0;q6;-215;0;-350;350;219;1;0;210;1068
S6RRRRRR10_KUKA38;KUKA;KR 180 R2500 extra;R;0;0;0;0;q1;675;0;-185;185;123;-1;-20;R;0;0;90;350;q2;0;0;5;140;115;1;120;R;0;0;0;1150;0;0;0;-210;65;112;1;20;R;0;0;90;41;q4;1000;0;-350;350;179;1;0;R;0;0;90;0;q5;0;0;-125;125;172;1;0;R;0;0;90;0;q6;-240;0;-350;350;219;1;0;180;1059
S6RRRRRR10_KUKA39;KUKA;KR 150 R2700 extra;R;0;0;0;0;q1;675;0;-185;185;123;-1;-20;R;0;0;90;350;q2;0;0;5;140;115;1;120;R;0;0;0;1150;0;0;0;-210;65;112;1;20;R;0;0;90;41;q4;1200;0;-350;350;179;1;0;R;0;0;90;0;q5;0;0;-125;125;172;1;0;R;0;0;90;0;q6;-215;0;-350;350;219;1;0;180;1059
S6RRRRRR10_KUKA40;KUKA;KR 150 R2700 extra;R;0;0;0;0;q1;675;0;-185;185;123;-1;-20;R;0;0;90;350;q2;0;0;5;140;115;1;120;R;0;0;0;1150;0;0;0;-210;65;112;1;20;R;0;0;90;41;q4;1200;0;-350;350;179;1;0;R;0;0;90;0;q5;0;0;-125;125;172;1;0;R;0;0;90;0;q6;-240;0;-350;350;219;1;0;150;1068
S6RRRRRR10_KUKA41;KUKA;KR 120 R2900 extra;R;0;0;0;0;q1;675;0;-185;185;123;-1;-20;R;0;0;90;350;q2;0;0;5;140;115;1;120;R;0;0;0;1350;0;0;0;-210;65;120;1;20;R;0;0;90;41;q4;1200;0;-350;350;292;1;0;R;0;0;90;0;q5;0;0;-125;125;258;1;0;R;0;0;90;0;q6;-215;0;-350;350;284;1;0;150;1068
S6RRRRRR10_KUKA42;KUKA;KR 120 R2900 extra;R;0;0;0;0;q1;675;0;-185;185;123;-1;-20;R;0;0;90;350;q2;0;0;5;140;115;1;120;R;0;0;0;1350;0;0;0;-210;65;120;1;20;R;0;0;90;41;q4;1200;0;-350;350;292;1;0;R;0;0;90;0;q5;0;0;-125;125;258;1;0;R;0;0;90;0;q6;-240;0;-350;350;284;1;0;120;1084
S6RRRRRR10_KUKA43;KUKA;KR 90 R3100 extra;R;0;0;0;0;q1;675;0;-185;185;123;-1;-20;R;0;0;90;350;q2;0;0;5;140;115;1;120;R;0;0;0;1350;0;0;0;-210;65;120;1;20;R;0;0;90;41;q4;1400;0;-350;350;292;1;0;R;0;0;90;0;q5;0;0;-125;125;258;1;0;R;0;0;90;0;q6;-215;0;-350;350;284;1;0;90;1092
S6RRRRRR10_KUKA44;KUKA;KR 90 R3100 extra;R;0;0;0;0;q1;675;0;-185;185;123;-1;-20;R;0;0;90;350;q2;0;0;5;140;115;1;120;R;0;0;0;1350;0;0;0;-210;65;120;1;20;R;0;0;90;41;q4;1400;0;-350;350;292;1;0;R;0;0;90;0;q5;0;0;-125;125;258;1;0;R;0;0;90;0;q6;-240;0;-350;350;284;1;0;90;1092
S6RRRRRR10_ABB1;ABB;IRB 120;R;0;0;0;0;q1;290;0;-165;165;250;-1;-20;R;0;0;90;0;q2;0;0;-110;110;250;1;120;R;0;0;0;270;0;0;0;-200;-20;250;1;20;R;0;0;90;70;q4;302;0;-160;160;320;1;0;R;0;0;90;0;q5;0;0;-120;120;320;1;0;R;0;0;90;0;q6;-72;0;-400;400;420;1;0;3;25
S6RRRRRR10_ABB2;ABB;IRB 140;R;0;0;0;0;q1;352;0;-180;180;200;-1;0;R;0;0;90;70;q2;0;0;-110;90;200;1;0;R;0;0;0;360;0;0;0;-320;-40;260;1;-90;R;0;0;90;0;q4;380;0;-200;200;360;1;0;R;0;0;90;0;q5;0;0;-115;115;350;1;0;R;0;0;90;0;q6;-65;0;-400;400;450;1;0;6;98
S6RRRRRR10_FANUC1;FANUC;P-350iA/45;R;0;0;0;0;q1;565;0;-180;180;180;-1;0;R;0;0;90;150;q2;0;0;-112.5;112.5;180;1;0;R;0;0;0;1150;0;0;0;-310;130;180;1;-90;R;0;0;90;170;q4;1295;0;-400;400;250;1;0;R;0;0;90;0;q5;0;0;-125;125;250;1;0;R;0;0;90;0;q6;-175;0;-400;400;300;1;0;45;590
S6RRRRRR10_FANUC2;FANUC;P-40iA;R;0;0;0;0;q1;618;0;0;180;220;-1;0;R;0;0;90;75;q2;0;0;-127.5;127.5;190;1;0;R;0;0;0;605;0;0;0;-287.5;107.5;240;1;-90;R;0;0;90;75;q4;650;0;-190;190;450;1;0;R;0;0;90;0;q5;0;0;-120;120;450;1;0;R;0;0;90;0;q6;-80;0;-360;360;720;1;0;5;110
S6RRRRRR10_FANUC3;FANUC;CR-7iA;R;0;0;0;0;q1;457;0;0;170;NA;-1;0;R;0;0;90;50;q2;0;0;-83;83;NA;1;0;R;0;0;0;330;0;0;0;-276.5;96.5;NA;1;-90;R;0;0;90;35;q4;335;0;-190;190;NA;1;0;R;0;0;90;0;q5;0;0;-120;120;NA;1;0;R;0;0;90;0;q6;-80;0;-360;360;NA;1;0;7;53
S6RRRRRR10_FANUC4;FANUC;CR-35iA;R;0;0;0;0;q1;1180;0;0;185;NA;-1;0;R;0;0;90;150;q2;0;0;-82.5;82.5;NA;1;0;R;0;0;0;750;0;0;0;-219;39;NA;1;-90;R;0;0;90;150;q4;860;0;-200;200;NA;1;0;R;0;0;90;0;q5;0;0;-110;110;NA;1;0;R;0;0;90;0;q6;-100;0;-450;450;NA;1;0;35;990
S6RRRRRR10_FANUC5;FANUC;ARC Mate 100iC;R;0;0;0;0;q1;450;0;0;180;210;-1;0;R;0;0;90;150;q2;0;0;-125;125;190;1;0;R;0;0;0;600;0;0;0;-312.5;132.5;210;1;-90;R;0;0;90;200;q4;640;0;-190;190;400;1;0;R;0;0;90;0;q5;0;0;-190;190;400;1;0;R;0;0;90;0;q6;-100;0;-360;360;600;1;0;10;130
